servicio,origen,destino,distancia_km,fuente_hoja
BIOTREN,Hualqui,Hualqui,0.0,PAX KM BT
BIOTREN,Hualqui,La Leonera,8.8,PAX KM BT
BIOTREN,Hualqui,Manquimávida,10.3,PAX KM BT
BIOTREN,Hualqui,Pedro Medina,12.3,PAX KM BT
BIOTREN,Hualqui,Chiguayante,13.4,PAX KM BT
BIOTREN,Hualqui,Concepción,23.5,PAX KM BT
BIOTREN,Hualqui,Concepcion Centro,23.5,PAX KM BT
BIOTREN,Hualqui,Lorenzo Arenas,26.5,PAX KM BT
BIOTREN,Hualqui,UTFSM,29.4,PAX KM BT
BIOTREN,Hualqui,Los Cóndores,31.4,PAX KM BT
BIOTREN,Hualqui,Higueras,33.4,PAX KM BT
BIOTREN,Hualqui,El Arenal,36.6,PAX KM BT
BIOTREN,Hualqui,Mercado,38.0,PAX KM BT
BIOTREN,Hualqui,Juan Pablo II,26.5,PAX KM BT
BIOTREN,Hualqui,Diagonal Biobío,28.5,PAX KM BT
BIOTREN,Hualqui,Alborada,30.7,PAX KM BT
BIOTREN,Hualqui,Costa Mar,31.5,PAX KM BT
BIOTREN,Hualqui,El Parque,33.15,PAX KM BT
BIOTREN,Hualqui,Lomas Coloradas,34.8,PAX KM BT
BIOTREN,Hualqui,C. Raúl Silva H.,36.775,PAX KM BT
BIOTREN,Hualqui,Hito Galvarino,43.055,PAX KM BT
BIOTREN,Hualqui,Los Canelos,46.015,PAX KM BT
BIOTREN,Hualqui,Huinca,46.88,PAX KM BT
BIOTREN,Hualqui,Cristo Redentor,48.05,PAX KM BT
BIOTREN,Hualqui,Laguna Quiñenco,49.64,PAX KM BT
BIOTREN,Hualqui,Intermodal Coronel,50.78,PAX KM BT
BIOTREN,Hualqui,Pasajero Lota,50.78,PAX KM BT
BIOTREN,La Leonera,Hualqui,8.8,PAX KM BT
BIOTREN,La Leonera,La Leonera,0.0,PAX KM BT
BIOTREN,La Leonera,Manquimávida,1.5,PAX KM BT
BIOTREN,La Leonera,Pedro Medina,4.4,PAX KM BT
BIOTREN,La Leonera,Chiguayante,5.5,PAX KM BT
BIOTREN,La Leonera,Concepción,15.6,PAX KM BT
BIOTREN,La Leonera,Concepcion Centro,15.6,PAX KM BT
BIOTREN,La Leonera,Lorenzo Arenas,18.6,PAX KM BT
BIOTREN,La Leonera,UTFSM,21.5,PAX KM BT
BIOTREN,La Leonera,Los Cóndores,23.5,PAX KM BT
BIOTREN,La Leonera,Higueras,25.5,PAX KM BT
BIOTREN,La Leonera,El Arenal,28.7,PAX KM BT
BIOTREN,La Leonera,Mercado,30.1,PAX KM BT
BIOTREN,La Leonera,Juan Pablo II,18.6,PAX KM BT
BIOTREN,La Leonera,Diagonal Biobío,20.6,PAX KM BT
BIOTREN,La Leonera,Alborada,22.8,PAX KM BT
BIOTREN,La Leonera,Costa Mar,23.6,PAX KM BT
BIOTREN,La Leonera,El Parque,25.25,PAX KM BT
BIOTREN,La Leonera,Lomas Coloradas,26.9,PAX KM BT
BIOTREN,La Leonera,C. Raúl Silva H.,28.875,PAX KM BT
BIOTREN,La Leonera,Hito Galvarino,35.155,PAX KM BT
BIOTREN,La Leonera,Los Canelos,38.115,PAX KM BT
BIOTREN,La Leonera,Huinca,38.98,PAX KM BT
BIOTREN,La Leonera,Cristo Redentor,40.15,PAX KM BT
BIOTREN,La Leonera,Laguna Quiñenco,41.74,PAX KM BT
BIOTREN,La Leonera,Intermodal Coronel,42.88,PAX KM BT
BIOTREN,La Leonera,Pasajero Lota,42.88,PAX KM BT
BIOTREN,Manquimávida,Hualqui,10.3,PAX KM BT
BIOTREN,Manquimávida,La Leonera,1.5,PAX KM BT
BIOTREN,Manquimávida,Manquimávida,0.0,PAX KM BT
BIOTREN,Manquimávida,Pedro Medina,1.8,PAX KM BT
BIOTREN,Manquimávida,Chiguayante,3.1,PAX KM BT
BIOTREN,Manquimávida,Concepción,13.2,PAX KM BT
BIOTREN,Manquimávida,Concepcion Centro,13.2,PAX KM BT
BIOTREN,Manquimávida,Lorenzo Arenas,16.2,PAX KM BT
BIOTREN,Manquimávida,UTFSM,19.1,PAX KM BT
BIOTREN,Manquimávida,Los Cóndores,21.1,PAX KM BT
BIOTREN,Manquimávida,Higueras,23.1,PAX KM BT
BIOTREN,Manquimávida,El Arenal,26.3,PAX KM BT
BIOTREN,Manquimávida,Mercado,27.7,PAX KM BT
BIOTREN,Manquimávida,Juan Pablo II,16.2,PAX KM BT
BIOTREN,Manquimávida,Diagonal Biobío,18.2,PAX KM BT
BIOTREN,Manquimávida,Alborada,20.4,PAX KM BT
BIOTREN,Manquimávida,Costa Mar,21.2,PAX KM BT
BIOTREN,Manquimávida,El Parque,22.85,PAX KM BT
BIOTREN,Manquimávida,Lomas Coloradas,24.5,PAX KM BT
BIOTREN,Manquimávida,C. Raúl Silva H.,26.475,PAX KM BT
BIOTREN,Manquimávida,Hito Galvarino,32.755,PAX KM BT
BIOTREN,Manquimávida,Los Canelos,35.715,PAX KM BT
BIOTREN,Manquimávida,Huinca,36.58,PAX KM BT
BIOTREN,Manquimávida,Cristo Redentor,37.75,PAX KM BT
BIOTREN,Manquimávida,Laguna Quiñenco,39.34,PAX KM BT
BIOTREN,Manquimávida,Intermodal Coronel,40.48,PAX KM BT
BIOTREN,Manquimávida,Pasajero Lota,40.48,PAX KM BT
BIOTREN,Pedro Medina,Hualqui,12.3,PAX KM BT
BIOTREN,Pedro Medina,La Leonera,4.4,PAX KM BT
BIOTREN,Pedro Medina,Manquimávida,1.8,PAX KM BT
BIOTREN,Pedro Medina,Pedro Medina,0.0,PAX KM BT
BIOTREN,Pedro Medina,Chiguayante,1.4,PAX KM BT
BIOTREN,Pedro Medina,Concepción,11.5,PAX KM BT
BIOTREN,Pedro Medina,Concepcion Centro,11.5,PAX KM BT
BIOTREN,Pedro Medina,Lorenzo Arenas,14.5,PAX KM BT
BIOTREN,Pedro Medina,UTFSM,17.4,PAX KM BT
BIOTREN,Pedro Medina,Los Cóndores,19.4,PAX KM BT
BIOTREN,Pedro Medina,Higueras,21.4,PAX KM BT
BIOTREN,Pedro Medina,El Arenal,24.6,PAX KM BT
BIOTREN,Pedro Medina,Mercado,26.0,PAX KM BT
BIOTREN,Pedro Medina,Juan Pablo II,14.5,PAX KM BT
BIOTREN,Pedro Medina,Diagonal Biobío,16.5,PAX KM BT
BIOTREN,Pedro Medina,Alborada,18.7,PAX KM BT
BIOTREN,Pedro Medina,Costa Mar,19.5,PAX KM BT
BIOTREN,Pedro Medina,El Parque,21.15,PAX KM BT
BIOTREN,Pedro Medina,Lomas Coloradas,22.8,PAX KM BT
BIOTREN,Pedro Medina,C. Raúl Silva H.,24.775,PAX KM BT
BIOTREN,Pedro Medina,Hito Galvarino,31.055,PAX KM BT
BIOTREN,Pedro Medina,Los Canelos,34.015,PAX KM BT
BIOTREN,Pedro Medina,Huinca,34.88,PAX KM BT
BIOTREN,Pedro Medina,Cristo Redentor,36.05,PAX KM BT
BIOTREN,Pedro Medina,Laguna Quiñenco,37.64,PAX KM BT
BIOTREN,Pedro Medina,Intermodal Coronel,38.78,PAX KM BT
BIOTREN,Pedro Medina,Pasajero Lota,38.78,PAX KM BT
BIOTREN,Chiguayante,Hualqui,13.4,PAX KM BT
BIOTREN,Chiguayante,La Leonera,5.5,PAX KM BT
BIOTREN,Chiguayante,Manquimávida,3.1,PAX KM BT
BIOTREN,Chiguayante,Pedro Medina,1.4,PAX KM BT
BIOTREN,Chiguayante,Chiguayante,0.0,PAX KM BT
BIOTREN,Chiguayante,Concepción,10.1,PAX KM BT
BIOTREN,Chiguayante,Concepcion Centro,10.1,PAX KM BT
BIOTREN,Chiguayante,Lorenzo Arenas,13.1,PAX KM BT
BIOTREN,Chiguayante,UTFSM,16.0,PAX KM BT
